Element	AtomicNumber	GroupBlock	Period	StandardAtomicWeight	ElementCategory	ElectronConfiguration	Phase	MeltingPoint	BoilingPoint	Density	TriplePoint	CriticalPoint	HeatOfFusion	HeatOfVaporization	MolarHeatCapacity	OxidationStates	Electronegativity	IonizationEnergies	AtomicRadius	CovalentRadius	VanDerWaalsRadius	CrystalStructure	SpeedOfSound	ThermalExpansion	ThermalConductivity	ElectricalResistivity	MagneticOrdering	MagneticSusceptibility	YoungsModulus	ShearModulus	BulkModulus	PoissonRatio	MohsHardness	VickersHardness	BrinellHardness	CASNumber	Discovery
Rhenium	75	7-D	6	186.207	TransitionMetal	[Xe] 4f14 5d5 6s2	Solid	3459	5903	21.02			60.43	704	25.48	7,6,5,4,3,2,1,0,-1,-3	1.9	760;1260;2510	137	151		HexagonalClosePacked	4700	6.2	48	0.193	Paramagnetic	6.76E-05	463	178	370	0.3	7	1350 - 7850	1320 - 2500	7440-15-5	Masataka Ogawa (1908)
Osmium	76	8-D	6	190.23	TransitionMetal	[Xe] 4f14 5d6 6s2	Solid	3306	5285	22.59			31	378	24.7	8,7,6,5,4,3,2,1,0,-1,-2,-4	2.2	840;1600	135	144		HexagonalClosePacked	4940	5.1	87.6	0.0812	Paramagnetic	9.9E-06		222	462	0.25	7		3490 - 4000	7440-04-2	Smithson Tennant (1803)
Iridium	77	9-D	6	192.217	TransitionMetal	[Xe] 4f14 5d7 6s2	Solid	2719	4403	22.56			41.12	564	25.1	-3,-1,0,1,2,3,4,5,6,7,8,9	2.2	880;1600	136	141		FaceCenteredCubic	4825	6.4	147	0.0471	Paramagnetic	2.56E-05	528	210	320	0.26	6.5	1760 - 2200	1670	7439-88-5	Smithson Tennant (1803)
Platinum	78	10-D	6	195.084	TransitionMetal	[Xe] 4f14 5d9 6s1	Solid	2041.4	4098	21.45			22.17	510	25.86	6,5,4,3,2,1,-1,-2,-3	2.28	870;1791	139	136	175	FaceCenteredCubic	2800	8.8	71.6	0.105	Paramagnetic	0.0002019	168	61	230	0.38	3.5	400 - 550	300 - 500	7440-06-4	Antonio de Ulloa (1748)
Gold	79	11-D	6	196.966569	TransitionMetal	[Xe] 4f14 5d10 6s1	Solid	1337.33	3243	19.3			12.55	342	25.418	5,3,2,1,-1,-2,-3	2.54	890.1;1980	144	136	166	FaceCenteredCubic	2030	14.2	318	0.02214	Diamagnetic	-2.8E-05	79	27	180	0.4	2.5	188 - 216	188 - 245	7440-57-5	In the Middle East (6000 BC)
Mercury	80	12-D	6	200.592	TransitionMetal	[Xe] 4f14 5d10 6s2	Liquid	234.321	629.88	13.534	234.3156 @ 1.65	1750 @ 172	2.29	59.11	27.983	2	2	1007.1;1810;3300	151	132	155	Rhombohedral	1451.4	60.4	8.3	0.961	Diamagnetic	-3.344E-05								7439-97-6	Ancient Chinese and Indians (2000 BC)
Thallium	81	13-P	6	204.38	PostTransitionMetal	[Xe] 4f14 5d10 6s2 6p1	Solid	577	1746	11.85			4.14	165	26.32	3,2,1,-1,-2,-5	1.62	589.4;1971;2878	170	145	196	HexagonalClosePacked	818	29.9	46.1	0.18	Diamagnetic	-5.09E-05	8	2.8	43	0.45	1.2		26.5 - 44.7	7440-28-0	William Crookes (1861)
Lead	82	14-P	6	207.2	PostTransitionMetal	[Xe] 4f14 5d10 6s2 6p2	Solid	600.61	2022	11.34			4.77	179.5	26.65	4,3,2,1,-1,-2,-4	1.87	715.6;1450.5;3081.5	175	146	202	FaceCenteredCubic	1190	28.9	35.3	0.208	Diamagnetic	-2.3E-05	16	5.6	46	0.44	1.5		38 - 50	7439-92-1	Middle Easterns (7000 BC)
Bismuth	83	15-P	6	208.9804	PostTransitionMetal	[Xe] 4f14 5d10 6s2 6p3	Solid	544.7	1837	9.78			11.3	179	25.52	5,4,3,2,1,-1,-2,-3	2.02	703;1610;2466	156	148	207	Rhombohedral	1790	13.4	7.97	1.29	Diamagnetic	-0.0002801	32	12	31	0.33	2.25		70 - 95	7440-69-9	Claude François Geoffroy (1753)
Polonium	84	16-P	6	209	PostTransitionMetal	[Xe] 4f14 5d10 6s2 6p4	Solid	527	1235	9.196			13	102.91	26.4	6,5,4,2,-2	2	812.1	168	140	197	Rhombohedral		23.5	20	0.4										7440-08-6	Pierre and Marie Curie (1898)
Astatine	85	17-P	6	210	Metalloid	[Xe] 4f14 5d10 6s2 6p5	Solid	575	610					54.39		-1,1,3,5,7	2.2	899.003		150	202	FaceCenteredCubic			1.7											7440-68-8	Dale R. Corson, Kenneth Ross MacKenzie, Emilio Segrè (1940)
Radon	86	18-P	6	222	NobleGas	[Xe] 4f14 5d10 6s2 6p6	Gas	202	211.5	0.00973		377 @ 6.28	3.247	18.1	20.786	6,2,0	2.2	1037		150	220	FaceCenteredCubic			3.61											10043-92-2	Ernest Rutherford and Robert B. Owens (1899)
Francium	87	1-S	7	223	AlkaliMetal	[Rn] 7s1	Gas	300	950							1	0.79	393		260	348	BodyCenteredCubic			15	3										7440-73-5	Marguerite Perey (1939)
Radium	88	2-S	7	226	AlkalineEarthMetal	[Rn] 7s2	Solid	973	2010	5.5			8.5	113		2	0.9	509.3;979		221	283	BodyCenteredCubic			18.6	1										7440-14-4	Pierre and Marie Curie (1898)
Actinium	89	3-F	7	227	Actinide	[Rn] 6d1 7s2	Solid	1500	3500	10			14	400	27.2	3,2	1.1	499;1170;1900		215		FaceCenteredCubic			12											7440-34-8	Friedrich Oskar Giesel (1902)
Thorium	90	3-F	7	232.0377	Actinide	[Rn] 6d2 7s2	Solid	2023	5061	11.7			13.81	514	26.23	4,3,2,1	1.3	587;1110;1930	179.8	206		FaceCenteredCubic	2490	11	54	0.157	Paramagnetic	0.000132	79	31	54	0.27	3	295 - 685	390 - 1500	7440-29-1	Jöns Jakob Berzelius (1829)
Protactinium	91	3-F	7	231.03588	Actinide	[Rn] 5f2 6d1 7s2	Solid	1841	4300	15.37			12.34	481		2,3,4,5	1.5	568	163	200		Tetragonal		9.9	47	0.177	Paramagnetic									7440-13-3	Kasimir Fajans and Oswald Helmuth Göhring (1913)
Uranium	92	3-F	7	238.02891	Actinide	[Rn] 5f3 6d1 7s2	Solid	1405.3	4404	19.1			9.14	417.1	27.665	6,5,4,3,2,1	1.38	597.6;1420	156	196	186	Orthorhombic	3155	13.9	27.5	0.28	Paramagnetic		208	111	100	0.23		1960 - 2500	2350 - 3850	7440-61-1	Martin Heinrich Klaproth (1789)
Neptunium	93	3-F	7	237	Actinide	[Rn] 5f4 6d1 7s2	Solid	912	4447				5.19	336	29.46	7,6,5,4,3,2	1.36	604.5	155	190		Orthorhombic			6.3	1.22	Paramagnetic									7439-99-8	Edwin McMillan and Philip H. Abelson (1940)
Plutonium	94	3-F	7	244	Actinide	[Rn] 5f6 7s2	Solid	912.5	3505	19.816			2.82	333.5	35.5	8,7,6,5,4,3,2,1	1.28	584.7	159	187		Monoclinic	2260	46.7	6.74	1.46	Paramagnetic		96	43		0.21				7440-07-5	Glenn T. Seaborg, Arthur Wahl, Joseph W. Kennedy, Edwin McMillan (1940)
Americium	95	3-F	7	243	Actinide	[Rn] 5f7 7s2	Solid	1449	2880	12			14.39		62.7	8,7,6,5,4,3,2	1.3	578	173	180		HexagonalClosePacked			10	0.69	Paramagnetic	0.001								7440-35-9	Glenn T. Seaborg, Ralph A. James, Leon O. Morgan, Albert Ghiorso (1944)
Curium	96	3-F	7	247	Actinide	[Rn] 5f7 6d1 7s2	Solid	1613	3383	13.51			13.85			6,4,3,2	1.3	581	174	169		HexagonalClosePacked				1.25	Paramagnetic									7440-51-9	Glenn T. Seaborg, Ralph A. James, Albert Ghiorso (1944)
Berkelium	97	3-F	7	247	Actinide	[Rn] 5f9 7s2	Solid	1259	2900				7.92			2,3,4	1.3	601	170			HexagonalClosePacked			10		Paramagnetic									7440-40-6	Lawrence Berkeley National Laboratory (1949)
Californium	98	3-F	7	251	Actinide	[Rn] 5f10 7s2	Solid	1173	1743	15.1						2,3,4	1.3	608				HexagonalClosePacked											3			7440-71-3	Lawrence Berkeley National Laboratory (1950)
Einsteinium	99	3-F	7	252	Actinide	[Rn] 5f11 7s2	Solid	1133	1269	8.84						2,3,4	1.3	619				FaceCenteredCubic					Paramagnetic									7429-92-7	Lawrence Berkeley National Laboratory (1952)
Fermium	100	3-F	7	257	Actinide	[Rn] 5f12 7s2	Solid	1800								2,3	1.3	627				FaceCenteredCubic														7440-72-4	Lawrence Berkeley National Laboratory (1952)
Mendelevium	101	3-F	7	258	Actinide	[Rn] 5f13 7s2	Solid	1100								2,3	1.3	635				FaceCenteredCubic														7440-11-1	Lawrence Berkeley National Laboratory (1955)
Nobelium	102	3-F	7	259	Actinide	[Rn] 5f14 7s2	Solid	1100								2,3	1.3	641.6;1254.3;2605.1				FaceCenteredCubic														10028-14-5	Joint Institute for Nuclear Research (1966)
Lawrencium	103	3-D	7	266	Actinide	[Rn] 5f14 7s2 7p1	Solid	1900								3		478.6;1428;2219.1				HexagonalClosePacked														22537-19-5	Lawrence Berkeley National Laboratory and Joint Institute for Nuclear Research (1961)
Rutherfordium	104	4-D	7	267	TransitionMetal	[Rn] 5f14 6d2 7s2	Solid	2400	5800	23.2						4		579.9;1389.4;2296.4	150	157		HexagonalClosePacked														53850-36-5	Joint Institute for Nuclear Research and Lawrence Berkeley National Laboratory (1964)
Dubnium	105	5-D	7	268	TransitionMetal	[Rn] 5f14 6d3 7s2	Solid			29.3						5		656.1;1546.7;2378.4	139	149		BodyCenteredCubic														53850-35-4	independently by the University of California and the Joint Institute for Nuclear Research (1970)
Seaborgium	106	6-D	7	269	TransitionMetal	[Rn] 5f14 6d4 7s2	Solid			35						6		752.6;1732.9;2483.5	132	143		BodyCenteredCubic														54038-81-2	Lawrence Berkeley National Laboratory (1974)
Bohrium	107	7-D	7	270	TransitionMetal	[Rn] 5f14 6d5 7s2	Solid			37.1						7		742.9;1688.5;2566.5	128	141		HexagonalClosePacked														54037-14-8	Gesellschaft für Schwerionenforschung (1981)
Hassium	108	8-D	7	277	TransitionMetal	[Rn] 5f14 6d6 7s2	Solid			41						8		733.3;1756;2827	126	134		HexagonalClosePacked														54037-57-9	Gesellschaft für Schwerionenforschung (1984)
Meitnerium	109	9-D	7	278	TransitionMetal	[Rn] 5f14 6d7 7s2	Solid			37.4						9,8,6,4,3,1		800.8;1823.6;2904.2	128	129		FaceCenteredCubic					Paramagnetic									54038-01-6	Gesellschaft für Schwerionenforschung (1982)
Darmstadtium	110	10-D	7	281	TransitionMetal	[Rn] 5f14 6d8 7s2	Solid			34.8						8,6,4,2,0		955.2;1891.1;3029.6	132	128		BodyCenteredCubic														54083-77-1	Gesellschaft für Schwerionenforschung (1994)
Roentgenium	111	11-D	7	282	TransitionMetal	[Rn] 5f14 6d9 7s2	Solid			28.7						5,3,1,-1		1022.7;2074.4;3077.9	138	121		BodyCenteredCubic														54386-24-2	Gesellschaft für Schwerionenforschung (1994)
Copernicium	112	12-D	7	285	TransitionMetal	[Rn] 5f14 6d10 7s2	Gas		357	23.7						2		1154.9;2170;3164.7	147	122		HexagonalClosePacked														54084-26-3	Gesellschaft für Schwerionenforschung (1996)
Nihonium	113	13-P	7	286	PostTransitionMetal	[Rn] 5f14 6d10 7s2 7p1	Solid	700	1430	16			7.61	130		-1,1,3,5		704.9;2238.5;3203.3	170	176																54084-70-7	RIKEN (2004, first undisputed)Joint Institute for Nuclear Research and Lawrence Livermore National Laboratory (2003)
Flerovium	114	14-P	7	289	PostTransitionMetal	[Rn] 5f14 6d10 7s2 7p2	Solid	340	420	14				38		0,1,2,4,6		823.9;1601.6;3367.3	180	174																54085-16-4	Joint Institute for Nuclear Research (JINR) and Lawrence Livermore National Laboratory (LLNL) (1999)
Moscovium	115	15-P	7	290	PostTransitionMetal	[Rn] 5f14 6d10 7s2 7p3	Solid	670	1400	13.5			5.9	138		1,3		538.4;1756;2653.3	187	157																54085-64-2	Joint Institute for Nuclear Research and Lawrence Livermore National Laboratory (2003)
Livermorium	116	16-P	7	293	PostTransitionMetal	[Rn] 5f14 6d10 7s2 7p4	Solid	637	1035	12.9			7.61	42		-2,2,4		723.6;1331.5;2846.3	183	164																54100-71-9	Joint Institute for Nuclear Research and Lawrence Livermore National Laboratory (2000)
Tennessine	117	17-P	7	294	PostTransitionMetal	[Rn] 5f14 6d10 7s2 7p5	Solid	623	883							-1,1,3,5		742.9;1785	138	156.5																54101-14-3	Joint Institute for Nuclear Research, Lawrence Livermore National Laboratory, Vanderbilt University and Oak Ridge National Laboratory (2010)
Oganesson	118	18-P	7	294	NobleGas	[Rn] 5f14 6d10 7s2 7p6	Solid		350			439 @ 6.8	23.5	19.4		-1,0,1,2,4,6		839.4;1563.1		157																54144-19-3	Joint Institute for Nuclear Research and Lawrence Livermore National Laboratory (2002)
